classification,cell_no,responder_id,question,adjusted_value,selection_data,cont_ratio,region,trim,period,a_weight,g_weight,l_value,sum_adjusted_value,sum_selection_data,ratio_val
6171000,115,159,688,123,563,0.218,11,N,201809,4.287,1.83,193,123,563,0.2184724689
6171000,115,159,689,1,563,0.002,11,N,201809,4.287,1.83,89,1,563,0.0017761989
6171000,115,159,695,8,563,0.014,11,N,201809,4.287,1.83,39,8,563,0.0142095915
6171000,115,159,696,0,563,0,11,N,201809,4.287,1.83,3,0,563,0
6171000,115,159,703,0,563,0,11,N,201809,4.287,1.83,12,0,563,0
6171000,115,159,704,7,563,0.012,11,N,201809,4.287,1.83,2,7,563,0.0124333925
6171000,115,159,707,69,563,0.123,11,N,201809,4.287,1.83,3,69,563,0.1225577265
6171000,115,159,708,0,563,0,11,N,201809,4.287,1.83,10000,0,563,0
6171000,115,159,709,4,563,0.007,11,N,201809,4.287,1.83,10,4,563,0.0071047957
6171000,115,159,710,9000,563,15.986,11,N,201809,4.287,1.83,1,9000,563,15.9857904085
6171000,115,159,711,87542,563,155.492,11,N,201809,4.287,1.83,31,87542,563,155.4920071048
6171000,115,159,712,90,563,0.16,11,N,201809,4.287,1.83,12,90,563,0.1598579041
6171000,115,159,688,123,563,0.218,11,N,201812,2.875,1.127,193,123,563,0.2184724689
6171000,115,159,689,1,563,0.002,11,N,201812,2.875,1.127,89,1,563,0.0017761989
6171000,115,159,695,0,563,0.014,11,N,201812,2.875,1.127,39,0,563,0
6171000,115,159,696,0,563,0,11,N,201812,2.875,1.127,3,0,563,0
6171000,115,159,703,0,563,0,11,N,201812,2.875,1.127,12,0,563,0
6171000,115,159,704,7,563,0.012,11,N,201812,2.875,1.127,2,7,563,0.0124333925
6171000,115,159,707,69,563,0.123,11,N,201812,2.875,1.127,3,69,563,0.1225577265
6171000,115,159,708,0,563,0,11,N,201812,2.875,1.127,10000,0,563,0
6171000,115,159,709,4,563,0.007,11,N,201812,2.875,1.127,10,4,563,0.0071047957
6171000,115,159,710,9000,563,15.986,11,N,201812,2.875,1.127,1,9000,563,15.9857904085
6171000,115,159,711,87542,563,155.492,11,N,201812,2.875,1.127,31,87542,563,155.4920071048
6171000,115,159,712,90,563,0.16,11,N,201812,2.875,1.127,12,90,563,0.1598579041
5610000,105,1316944,681,65,313,0.208,11,N,201809,1.291,1.742,262,65,313,0.2076677316
5610000,105,1316944,688,3,313,0.01,11,N,201809,1.291,1.742,193,3,313,0.0095846645
5610000,105,1316944,689,1,313,0.003,11,N,201809,1.291,1.742,89,1,313,0.0031948882
5610000,105,1316944,692,96,313,0.307,11,N,201809,1.291,1.742,86,96,313,0.3067092652
5610000,105,1316944,693,21,313,0.067,11,N,201809,1.291,1.742,102,21,313,0.0670926518
5610000,105,1316944,695,6,313,0.019,11,N,201809,1.291,1.742,39,6,313,0.0191693291
5610000,105,1316944,696,5,313,0.016,11,N,201809,1.291,1.742,3,5,313,0.0159744409
5610000,105,1316944,703,4,313,0.013,11,N,201809,1.291,1.742,12,4,313,0.0127795527
5610000,105,1316944,704,4,313,0.013,11,N,201809,1.291,1.742,2,4,313,0.0127795527
5610000,105,1316944,707,9,313,0.029,11,N,201809,1.291,1.742,3,9,313,0.0287539936
5610000,105,1316944,708,7,313,0.022,11,N,201809,1.291,1.742,10000,7,313,0.0223642173
5610000,105,1316944,709,1,313,0.003,11,N,201809,1.291,1.742,10,1,313,0.0031948882
5610000,105,1316944,710,3,313,0.01,11,N,201809,1.291,1.742,1,3,313,0.0095846645
5610000,105,1316944,711,8,313,0.026,11,N,201809,1.291,1.742,31,8,313,0.0255591054
5610000,105,1316944,712,1,313,0.003,11,N,201809,1.291,1.742,12,1,313,0.0031948882
5610000,105,1316944,681,0,313,0.208,11,N,201812,1.311,1.256,262,0,313,0
5610000,105,1316944,688,3,313,0.01,11,N,201812,1.311,1.256,193,3,313,0.0095846645
5610000,105,1316944,689,1,313,0.003,11,N,201812,1.311,1.256,89,1,313,0.0031948882
5610000,105,1316944,692,96,313,0.307,11,N,201812,1.311,1.256,250,96,313,0.3067092652
5610000,105,1316944,693,21,313,0.067,11,N,201812,1.311,1.256,180,21,313,0.0670926518
5610000,105,1316944,695,6,313,0.019,11,N,201812,1.311,1.256,39,6,313,0.0191693291
5610000,105,1316944,696,5,313,0.016,11,N,201812,1.311,1.256,3,5,313,0.0159744409
5610000,105,1316944,703,4,313,0.013,11,N,201812,1.311,1.256,12,4,313,0.0127795527
5610000,105,1316944,704,4,313,0.013,11,N,201812,1.311,1.256,2,4,313,0.0127795527
5610000,105,1316944,707,9,313,0.029,11,N,201812,1.311,1.256,3,9,313,0.0287539936
5610000,105,1316944,708,7,313,0.022,11,N,201812,1.311,1.256,10000,7,313,0.0223642173
5610000,105,1316944,709,1,313,0.003,11,N,201812,1.311,1.256,10,1,313,0.0031948882
5610000,105,1316944,710,0,313,0.01,11,N,201812,1.311,1.256,1,0,313,0
5610000,105,1316944,711,8,313,0.026,11,N,201812,1.311,1.256,31,8,313,0.0255591054
5610000,105,1316944,712,1,313,0.003,11,N,201812,1.311,1.256,12,1,313,0.0031948882
3366000,65,11677331,681,56,635,0.088,10,N,201809,2.667,1.479,262,68,1214,0.0560131796
3366000,65,11677331,688,2,635,0.003,10,N,201809,2.667,1.479,193,9,1531,0.0058785108
3366000,65,11677331,689,2,635,0.003,10,N,201809,2.667,1.479,89,21,1531,0.0137165251
3366000,65,11677331,692,72,635,0.113,10,N,201809,2.667,1.479,52,379,1214,0.3121911038
3366000,65,11677331,693,11,635,0.017,10,N,201809,2.667,1.479,152,682,1531,0.4454604833
3366000,65,11677331,695,2,635,0.003,10,N,201809,2.667,1.479,39,10,1531,0.0065316786
3366000,65,11677331,696,2,635,0.003,10,N,201809,2.667,1.479,3,2,1531,0.0013063357
3366000,65,11677331,697,5,635,0.008,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539
3366000,65,11677331,703,1,635,0.002,10,N,201809,2.667,1.479,12,1,1531,0.0006531679
3366000,65,11677331,704,1,635,0.002,10,N,201809,2.667,1.479,2,2,1531,0.0013063357
3366000,65,11677331,707,1,635,0.002,10,N,201809,2.667,1.479,3,2,1531,0.0013063357
3366000,65,11677331,708,1,635,0.002,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679
3366000,65,11677331,709,2,635,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862
3366000,65,11677331,710,2,635,0.003,10,N,201809,2.667,1.479,1,12,1531,0.0078380144
3366000,65,11677331,711,3,635,0.005,10,N,201809,2.667,1.479,31,988,1531,0.6453298498
3366000,65,11677331,712,3,635,0.005,10,N,201809,2.667,1.479,12,635,1531,0.4147615937
3366000,65,11677331,681,56,635,0.088,10,N,201812,3.5,1.299,262,68,1214,0.0560131796
3366000,65,11677331,688,2,635,0.003,10,N,201812,3.5,1.299,193,9,1531,0.0058785108
3366000,65,11677331,689,2,635,0.003,10,N,201812,3.5,1.299,89,21,1531,0.0137165251
3366000,65,11677331,692,72,635,0.113,10,N,201812,3.5,1.299,206,379,1214,0.3121911038
3366000,65,11677331,693,11,635,0.017,10,N,201812,3.5,1.299,181,682,1531,0.4454604833
3366000,65,11677331,695,2,635,0.003,10,N,201812,3.5,1.299,39,10,1531,0.0065316786
3366000,65,11677331,696,2,635,0.003,10,N,201812,3.5,1.299,3,2,1531,0.0013063357
3366000,65,11677331,697,5,635,0.008,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539
3366000,65,11677331,703,1,635,0.002,10,N,201812,3.5,1.299,12,1,1531,0.0006531679
3366000,65,11677331,704,0,635,0.002,10,N,201812,3.5,1.299,2,1,1531,0.0006531679
3366000,65,11677331,707,1,635,0.002,10,N,201812,3.5,1.299,3,2,1531,0.0013063357
3366000,65,11677331,708,1,635,0.002,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679
3366000,65,11677331,709,2,635,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541
3366000,65,11677331,710,2,635,0.003,10,N,201812,3.5,1.299,1,12,1531,0.0078380144
3366000,65,11677331,711,3,635,0.005,10,N,201812,3.5,1.299,31,988,1531,0.6453298498
3366000,65,11677331,712,3,635,0.005,10,N,201812,3.5,1.299,12,635,1531,0.4147615937
3366000,65,16549091,681,12,579,0.021,10,N,201809,2.667,1.479,262,68,1214,0.0560131796
3366000,65,16549091,688,7,579,0.012,10,N,201809,2.667,1.479,193,9,1531,0.0058785108
3366000,65,16549091,689,19,579,0.033,10,N,201809,2.667,1.479,89,21,1531,0.0137165251
3366000,65,16549091,692,307,579,0.53,10,N,201809,2.667,1.479,10,379,1214,0.3121911038
3366000,65,16549091,693,20,579,0.035,10,N,201809,2.667,1.479,503,682,1531,0.4454604833
3366000,65,16549091,695,0,579,0.116,10,N,201809,2.667,1.479,39,10,1531,0.0065316786
3366000,65,16549091,696,0,579,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357
3366000,65,16549091,697,100,579,0.173,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539
3366000,65,16549091,703,0,579,0,10,N,201809,2.667,1.479,12,1,1531,0.0006531679
3366000,65,16549091,704,1,579,0.002,10,N,201809,2.667,1.479,2,2,1531,0.0013063357
3366000,65,16549091,707,1,579,0.002,10,N,201809,2.667,1.479,3,2,1531,0.0013063357
3366000,65,16549091,708,0,579,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679
3366000,65,16549091,709,70,579,0.121,10,N,201809,2.667,1.479,10,72,1531,0.0470280862
3366000,65,16549091,710,0,579,0,10,N,201809,2.667,1.479,1,12,1531,0.0078380144
3366000,65,16549091,711,50,579,0.086,10,N,201809,2.667,1.479,31,988,1531,0.6453298498
3366000,65,16549091,712,0,579,0,10,N,201809,2.667,1.479,12,635,1531,0.4147615937
3366000,65,16549091,681,12,579,0.021,10,N,201812,3.5,1.299,262,68,1214,0.0560131796
3366000,65,16549091,688,7,579,0.012,10,N,201812,3.5,1.299,193,9,1531,0.0058785108
3366000,65,16549091,689,19,579,0.033,10,N,201812,3.5,1.299,89,21,1531,0.0137165251
3366000,65,16549091,692,307,579,0.53,10,N,201812,3.5,1.299,309,379,1214,0.3121911038
3366000,65,16549091,693,20,579,0.035,10,N,201812,3.5,1.299,165,682,1531,0.4454604833
3366000,65,16549091,695,0,579,0.116,10,N,201812,3.5,1.299,39,10,1531,0.0065316786
3366000,65,16549091,696,0,579,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357
3366000,65,16549091,697,100,579,0.173,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539
3366000,65,16549091,703,0,579,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679
3366000,65,16549091,704,1,579,0.002,10,N,201812,3.5,1.299,2,1,1531,0.0006531679
3366000,65,16549091,707,1,579,0.002,10,N,201812,3.5,1.299,3,2,1531,0.0013063357
3366000,65,16549091,708,0,579,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679
3366000,65,16549091,709,70,579,0.121,10,N,201812,3.5,1.299,10,73,1531,0.0476812541
3366000,65,16549091,710,0,579,0,10,N,201812,3.5,1.299,1,12,1531,0.0078380144
3366000,65,16549091,711,50,579,0.086,10,N,201812,3.5,1.299,31,988,1531,0.6453298498
3366000,65,16549091,712,0,579,0,10,N,201812,3.5,1.299,12,635,1531,0.4147615937
3366000,65,16572941,688,0,317,0,10,N,201809,2.667,1.479,193,9,1531,0.0058785108
3366000,65,16572941,689,0,317,0.028,10,N,201809,2.667,1.479,89,21,1531,0.0137165251
3366000,65,16572941,693,651,317,2.054,10,N,201809,2.667,1.479,209,682,1531,0.4454604833
3366000,65,16572941,695,8,317,0.025,10,N,201809,2.667,1.479,39,10,1531,0.0065316786
3366000,65,16572941,696,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357
3366000,65,16572941,697,4533,317,14.3,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539
3366000,65,16572941,703,0,317,0,10,N,201809,2.667,1.479,12,1,1531,0.0006531679
3366000,65,16572941,704,0,317,0,10,N,201809,2.667,1.479,2,2,1531,0.0013063357
3366000,65,16572941,707,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357
3366000,65,16572941,708,0,317,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679
3366000,65,16572941,709,0,317,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862
3366000,65,16572941,710,10,317,0.032,10,N,201809,2.667,1.479,1,12,1531,0.0078380144
3366000,65,16572941,711,935,317,2.95,10,N,201809,2.667,1.479,31,988,1531,0.6453298498
3366000,65,16572941,712,632,317,1.994,10,N,201809,2.667,1.479,12,635,1531,0.4147615937
3366000,65,16572941,688,0,317,0,10,N,201812,3.5,1.299,193,9,1531,0.0058785108
3366000,65,16572941,689,0,317,0.028,10,N,201812,3.5,1.299,89,21,1531,0.0137165251
3366000,65,16572941,693,651,317,2.054,10,N,201812,3.5,1.299,3,682,1531,0.4454604833
3366000,65,16572941,695,8,317,0.025,10,N,201812,3.5,1.299,39,10,1531,0.0065316786
3366000,65,16572941,696,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357
3366000,65,16572941,697,4533,317,14.3,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539
3366000,65,16572941,703,0,317,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679
3366000,65,16572941,704,0,317,0,10,N,201812,3.5,1.299,2,1,1531,0.0006531679
3366000,65,16572941,707,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357
3366000,65,16572941,708,0,317,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679
3366000,65,16572941,709,1,317,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541
3366000,65,16572941,710,10,317,0.032,10,N,201812,3.5,1.299,1,12,1531,0.0078380144
3366000,65,16572941,711,935,317,2.95,10,N,201812,3.5,1.299,31,988,1531,0.6453298498
3366000,65,16572941,712,632,317,1.994,10,N,201812,3.5,1.299,12,635,1531,0.4147615937
37026000,695,5302969643,681,10,396,0.025,0,N,201809,2.184,3.741,262,10,396,0.0252525253
37026000,695,5302969643,688,5,396,0.013,0,N,201809,2.184,3.741,193,5,396,0.0126262626
37026000,695,5302969643,689,6,396,0.015,0,N,201809,2.184,3.741,89,6,396,0.0151515152
37026000,695,5302969643,692,40,396,0.101,0,N,201809,2.184,3.741,99,40,396,0.101010101
37026000,695,5302969643,693,21,396,0.053,0,N,201809,2.184,3.741,77,21,396,0.053030303
37026000,695,5302969643,695,7,396,0.018,0,N,201809,2.184,3.741,39,7,396,0.0176767677
37026000,695,5302969643,696,0,396,0.01,0,N,201809,2.184,3.741,3,0,396,0
37026000,695,5302969643,703,4,396,0.01,0,N,201809,2.184,3.741,12,4,396,0.0101010101
37026000,695,5302969643,704,2,396,0.005,0,N,201809,2.184,3.741,2,2,396,0.0050505051
37026000,695,5302969643,707,5,396,0.013,0,N,201809,2.184,3.741,3,5,396,0.0126262626
37026000,695,5302969643,708,5,396,0.013,0,N,201809,2.184,3.741,10000,5,396,0.0126262626
37026000,695,5302969643,709,8,396,0.02,0,N,201809,2.184,3.741,10,8,396,0.0202020202
37026000,695,5302969643,710,1,396,0.003,0,N,201809,2.184,3.741,1,1,396,0.0025252525
37026000,695,5302969643,711,1,396,0.003,0,N,201809,2.184,3.741,31,1,396,0.0025252525
37026000,695,5302969643,712,3,396,0.008,0,N,201809,2.184,3.741,12,3,396,0.0075757576
37026000,695,5302969643,681,10,396,0.025,0,N,201812,5.431,2.312,262,10,396,0.0252525253
37026000,695,5302969643,688,5,396,0.013,0,N,201812,5.431,2.312,193,5,396,0.0126262626
37026000,695,5302969643,689,0,396,0.015,0,N,201812,5.431,2.312,89,0,396,0
37026000,695,5302969643,692,40,396,0.101,0,N,201812,5.431,2.312,707,40,396,0.101010101
37026000,695,5302969643,693,21,396,0.053,0,N,201812,5.431,2.312,86,21,396,0.053030303
37026000,695,5302969643,695,7,396,0.018,0,N,201812,5.431,2.312,39,7,396,0.0176767677
37026000,695,5302969643,696,4,396,0.01,0,N,201812,5.431,2.312,3,4,396,0.0101010101
37026000,695,5302969643,703,4,396,0.01,0,N,201812,5.431,2.312,12,4,396,0.0101010101
37026000,695,5302969643,704,2,396,0.005,0,N,201812,5.431,2.312,2,2,396,0.0050505051
37026000,695,5302969643,707,5,396,0.013,0,N,201812,5.431,2.312,3,5,396,0.0126262626
37026000,695,5302969643,708,5,396,0.013,0,N,201812,5.431,2.312,10000,5,396,0.0126262626
37026000,695,5302969643,709,8,396,0.02,0,N,201812,5.431,2.312,10,8,396,0.0202020202
37026000,695,5302969643,710,1,396,0.003,0,N,201812,5.431,2.312,1,1,396,0.0025252525
37026000,695,5302969643,711,1,396,0.003,0,N,201812,5.431,2.312,31,1,396,0.0025252525
37026000,695,5302969643,712,3,396,0.008,0,N,201812,5.431,2.312,12,3,396,0.0075757576
