classification,cell_no,responder_id,question,adjusted_value,selection_data,cont_ratio,region,trim,period,a_weight,g_weight,l_value,sum_adjusted_value,sum_selection_data,ratio_val,winsFitted,K_Value,O_weight
6171000,115,159,688,123,563,0.218,11,N,201809,4.287,1.83,193,123,563,0.2184724689,122.9999999907,151.1948983211,1.2000081184
6171000,115,159,689,1,563,0.002,11,N,201809,4.287,1.83,89,1,563,0.0017761989,0.9999999807,14.001792475,12.3445019149
6171000,115,159,695,8,563,0.014,11,N,201809,4.287,1.83,39,8,563,0.0142095915,8.0000000145,13.697414703,1.6213982815
6171000,115,159,696,0,563,0,11,N,201809,4.287,1.83,3,0,563,0,0,0.4382626683,
6171000,115,159,703,0,563,0,11,N,201809,4.287,1.83,12,0,563,0,0,1.7530506734,
6171000,115,159,704,7,563,0.012,11,N,201809,4.287,1.83,2,7,563,0.0124333925,6.9999999775,7.2921750897,1.036418944
6171000,115,159,707,69,563,0.123,11,N,201809,4.287,1.83,3,69,563,0.1225577265,69.0000000195,69.4382626878,1.0055420139
6171000,115,159,708,0,563,0,11,N,201809,4.287,1.83,10000,0,563,0,0,1460.8755611588,
6171000,115,159,709,4,563,0.007,11,N,201809,4.287,1.83,10,4,563,0.0071047957,3.9999999791,5.4608755403,1.31866578
6171000,115,159,710,9000,563,15.986,11,N,201809,4.287,1.83,1,9000,563,15.9857904085,8999.9999999855,9000.1460875416,1.0000141629
6171000,115,159,711,87542,563,155.492,11,N,201809,4.287,1.83,31,87542,563,155.4920071048,87542.0000000024,87546.528714242,1.0000451378
6171000,115,159,712,90,563,0.16,11,N,201809,4.287,1.83,12,90,563,0.1598579041,90.0000000083,91.7530506817,1.0169955086
6171000,115,159,688,123,563,0.218,11,N,201812,2.875,1.127,193,123,563,0.2184724689,122.9999999907,209.1559064691,1.4842731965
6171000,115,159,689,1,563,0.002,11,N,201812,2.875,1.127,89,1,563,0.0017761989,0.9999999807,40.7299257661,28.468076064
6171000,115,159,695,0,563,0.014,11,N,201812,2.875,1.127,39,0,563,0,0,17.4097427599,
6171000,115,159,696,0,563,0,11,N,201812,2.875,1.127,3,0,563,0,0,1.3392109815,
6171000,115,159,703,0,563,0,11,N,201812,2.875,1.127,12,0,563,0,0,5.3568439261,
6171000,115,159,704,7,563,0.012,11,N,201812,2.875,1.127,2,7,563,0.0124333925,6.9999999775,7.8928072985,1.0881800173
6171000,115,159,707,69,563,0.123,11,N,201812,2.875,1.127,3,69,563,0.1225577265,69.0000000195,70.339211001,1.0134186988
6171000,115,159,708,0,563,0,11,N,201812,2.875,1.127,10000,0,563,0,0,4464.0366051002,
6171000,115,159,709,4,563,0.007,11,N,201812,2.875,1.127,10,4,563,0.0071047957,3.9999999791,8.4640365842,1.7715751671
6171000,115,159,710,9000,563,15.986,11,N,201812,2.875,1.127,1,9000,563,15.9857904085,8999.9999999855,9000.446403646,1.0000342922
6171000,115,159,711,87542,563,155.492,11,N,201812,2.875,1.127,31,87542,563,155.4920071048,87542.0000000024,87555.8385134782,1.0001092908
6171000,115,159,712,90,563,0.16,11,N,201812,2.875,1.127,12,90,563,0.1598579041,90.0000000083,95.3568439344,1.0411506758
5610000,105,1316944,681,65,313,0.208,11,N,201809,1.291,1.742,262,65,313,0.2076677316,64.9999999908,274.7809150519,2.7923117078
5610000,105,1316944,688,3,313,0.01,11,N,201809,1.291,1.742,193,3,313,0.0095846645,2.9999999885,157.5332694801,29.6062981858
5610000,105,1316944,689,1,313,0.003,11,N,201809,1.291,1.742,89,1,313,0.0031948882,1.0000000066,72.2614558862,40.5745161497
5610000,105,1316944,692,96,313,0.307,11,N,201809,1.291,1.742,86,96,313,0.3067092652,96.0000000076,164.8593843406,1.3983389968
5610000,105,1316944,693,21,313,0.067,11,N,201809,1.291,1.742,102,21,313,0.0670926518,21.0000000134,102.6704325945,3.1597649265
5610000,105,1316944,695,6,313,0.019,11,N,201809,1.291,1.742,39,6,313,0.0191693291,6.0000000083,37.2269301128,3.8902736519
5610000,105,1316944,696,5,313,0.016,11,N,201809,1.291,1.742,3,5,313,0.0159744409,5.0000000017,7.4020715482,1.2667944911
5610000,105,1316944,703,4,313,0.013,11,N,201809,1.291,1.742,12,4,313,0.0127795527,3.9999999951,13.6082861811,2.3339724537
5610000,105,1316944,704,4,313,0.013,11,N,201809,1.291,1.742,2,4,313,0.0127795527,3.9999999951,5.6013810261,1.2223287417
5610000,105,1316944,707,9,313,0.029,11,N,201809,1.291,1.742,3,9,313,0.0287539936,8.9999999968,11.4020715433,1.1482191614
5610000,105,1316944,708,7,313,0.022,11,N,201809,1.291,1.742,10000,7,313,0.0223642173,7.0000000149,8013.9051550206,636.224978267
5610000,105,1316944,709,1,313,0.003,11,N,201809,1.291,1.742,10,1,313,0.0031948882,1.0000000066,9.0069051616,5.4465748515
5610000,105,1316944,710,3,313,0.01,11,N,201809,1.291,1.742,1,3,313,0.0095846645,2.9999999885,3.800690504,1.1482191595
5610000,105,1316944,711,8,313,0.026,11,N,201809,1.291,1.742,31,8,313,0.0255591054,7.9999999902,32.8214059707,2.7230477529
5610000,105,1316944,712,1,313,0.003,11,N,201809,1.291,1.742,12,1,313,0.0031948882,1.0000000066,10.6082861926,6.3358898211
5610000,105,1316944,681,0,313,0.208,11,N,201812,1.311,1.256,262,0,313,0,0,405.1863857374,
5610000,105,1316944,688,3,313,0.01,11,N,201812,1.311,1.256,193,3,313,0.0095846645,2.9999999885,301.4769940623,40.0700280641
5610000,105,1316944,689,1,313,0.003,11,N,201812,1.311,1.256,89,1,313,0.0031948882,1.0000000066,138.6396501235,55.050246083
5610000,105,1316944,692,96,313,0.307,11,N,201812,1.311,1.256,250,96,313,0.3067092652,96.0000000076,482.6282306731,2.5815263952
5610000,105,1316944,693,21,313,0.067,11,N,201812,1.311,1.256,180,21,313,0.0670926518,21.0000000134,299.3723260926,6.2054811637
5610000,105,1316944,695,6,313,0.019,11,N,201812,1.311,1.256,39,6,313,0.0191693291,6.0000000083,66.3140039921,4.9474898828
5610000,105,1316944,696,5,313,0.016,11,N,201812,1.311,1.256,3,5,313,0.0159744409,5.0000000017,9.6395387697,1.3643836816
5610000,105,1316944,703,4,313,0.013,11,N,201812,1.311,1.256,12,4,313,0.0127795527,3.9999999951,22.558155067,2.8219184067
5610000,105,1316944,704,4,313,0.013,11,N,201812,1.311,1.256,2,4,313,0.0127795527,3.9999999951,7.0930258404,1.3036530674
5610000,105,1316944,707,9,313,0.029,11,N,201812,1.311,1.256,3,9,313,0.0287539936,8.9999999968,13.6395387648,1.2024353784
5610000,105,1316944,708,7,313,0.022,11,N,201812,1.311,1.256,10000,7,313,0.0223642173,7.0000000149,15472.1292266347,868.5801939085
5610000,105,1316944,709,1,313,0.003,11,N,201812,1.311,1.256,10,1,313,0.0031948882,1.0000000066,16.4651292332,7.0730613599
5610000,105,1316944,710,0,313,0.01,11,N,201812,1.311,1.256,1,0,313,0,0,1.5465129227,
5610000,105,1316944,711,8,313,0.026,11,N,201812,1.311,1.256,31,8,313,0.0255591054,7.9999999902,55.9419005927,3.3533112755
5610000,105,1316944,712,1,313,0.003,11,N,201812,1.311,1.256,12,1,313,0.0031948882,1.0000000066,19.5581550785,8.2876736314
3366000,65,11677331,681,56,635,0.088,10,N,201809,2.667,1.479,262,68,1214,0.0560131796,35.568369046,124.5480337964,1.9137477313
3366000,65,11677331,688,2,635,0.003,10,N,201809,2.667,1.479,193,9,1531,0.0058785108,3.732854358,69.2789432772,26.1112598662
3366000,65,11677331,689,2,635,0.003,10,N,201809,2.667,1.479,89,21,1531,0.0137165251,8.7099934385,38.9359100904,14.7859959074
3366000,65,11677331,692,72,635,0.113,10,N,201809,2.667,1.479,52,379,1214,0.3121911038,198.241350913,215.9014370467,2.4919421065
3366000,65,11677331,693,11,635,0.017,10,N,201809,2.667,1.479,152,682,1531,0.4454604833,282.8674068955,334.4891971324,22.9526237197
3366000,65,11677331,695,2,635,0.003,10,N,201809,2.667,1.479,39,10,1531,0.0065316786,4.147615911,17.3926805113,6.7451794206
3366000,65,11677331,696,2,635,0.003,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.8295231695,1.8483742926,0.9434070698
3366000,65,11677331,697,5,635,0.008,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539,1923.6642717265,1924.6831228496,287.6017770826
3366000,65,11677331,703,1,635,0.002,10,N,201809,2.667,1.479,12,1,1531,0.0006531679,0.4147616165,4.4901661089,3.6053461564
3366000,65,11677331,704,1,635,0.002,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.8295231695,1.5087572516,1.3797781276
3366000,65,11677331,707,1,635,0.002,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.8295231695,1.8483742926,1.6332961336
3366000,65,11677331,708,1,635,0.002,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.4147616165,3396.5851719384,2535.7431899807
3366000,65,11677331,709,2,635,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,29.862834737,33.2590051473,12.6671422466
3366000,65,11677331,710,2,635,0.003,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,4.977139144,5.316756185,2.2379493853
3366000,65,11677331,711,3,635,0.005,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,409.784454623,420.312582895,104.838776335
3366000,65,11677331,712,3,635,0.005,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,263.3736119995,267.4490164919,66.8021430483
3366000,65,11677331,681,56,635,0.088,10,N,201812,3.5,1.299,262,68,1214,0.0560131796,35.568369046,109.4440210973,1.7444471447
3366000,65,11677331,688,2,635,0.003,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,3.732854358,58.1527049149,22.9009752536
3366000,65,11677331,689,2,635,0.003,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,8.7099934385,33.8051576849,13.4048159826
3366000,65,11677331,692,72,635,0.113,10,N,201812,3.5,1.299,206,379,1214,0.3121911038,198.241350913,256.3267872587,2.9970030396
3366000,65,11677331,693,11,635,0.017,10,N,201812,3.5,1.299,181,682,1531,0.4454604833,282.8674068955,333.9036398012,23.8982885647
3366000,65,11677331,695,2,635,0.003,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,4.147615911,15.1443732774,6.1266380544
3366000,65,11677331,696,2,635,0.003,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.8295231695,1.6754275823,0.8734085473
3366000,65,11677331,697,5,635,0.008,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,1923.6642717265,1924.5101761393,300.4630084539
3366000,65,11677331,703,1,635,0.002,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.4147616165,3.7983792677,3.1828773942
3366000,65,11677331,704,0,635,0.002,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.4147616165,0.9786978917,
3366000,65,11677331,707,1,635,0.002,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.8295231695,1.6754275823,1.526867683
3366000,65,11677331,708,1,635,0.002,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.4147616165,2820.096137621,2200.0376008079
3366000,65,11677331,709,2,635,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,30.2775963535,33.0972777295,13.1287248947
3366000,65,11677331,710,2,635,0.003,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,4.977139144,5.2591072816,2.2711342763
3366000,65,11677331,711,3,635,0.005,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,409.784454623,418.5254668886,109.043628309
3366000,65,11677331,712,3,635,0.005,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,263.3736119995,266.7572296507,69.5813273915
3366000,65,16549091,681,12,579,0.021,10,N,201809,2.667,1.479,262,68,1214,0.0560131796,32.4316309884,121.4112957388,7.8061301842
3366000,65,16549091,688,7,579,0.012,10,N,201809,2.667,1.479,193,9,1531,0.0058785108,3.4036577532,68.9497466724,7.6063386321
3366000,65,16549091,689,19,579,0.033,10,N,201809,2.667,1.479,89,21,1531,0.0137165251,7.9418680329,38.1677846848,1.753074007
3366000,65,16549091,692,307,579,0.53,10,N,201809,2.667,1.479,10,379,1214,0.3121911038,180.7586491002,184.1548195105,0.7012973443
3366000,65,16549091,693,20,579,0.035,10,N,201809,2.667,1.479,503,682,1531,0.4454604833,257.9216198307,428.7489914699,16.2561881101
3366000,65,16549091,695,0,579,0.116,10,N,201809,2.667,1.479,39,10,1531,0.0065316786,3.7818419094,17.0269065097,
3366000,65,16549091,696,0,579,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.7563683703,1.7752194934,
3366000,65,16549091,697,100,579,0.173,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539,1754.0182887081,1755.0371398312,13.354554243
3366000,65,16549091,703,0,579,0,10,N,201809,2.667,1.479,12,1,1531,0.0006531679,0.3781842141,4.4535887065,
3366000,65,16549091,704,1,579,0.002,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.7563683703,1.4356024524,1.3251693873
3366000,65,16549091,707,1,579,0.002,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.7563683703,1.7752194934,1.5786873932
3366000,65,16549091,708,0,579,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.3781842141,3396.548594536,
3366000,65,16549091,709,70,579,0.121,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,27.2292619098,30.6254323201,0.5801084886
3366000,65,16549091,710,0,579,0,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,4.5382103376,4.8778273786,
3366000,65,16549091,711,50,579,0.086,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,373.6459830342,384.1741113062,5.9890991391
3366000,65,16549091,712,0,579,0,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,240.1469627523,244.2223672447,
3366000,65,16549091,681,12,579,0.021,10,N,201812,3.5,1.299,262,68,1214,0.0560131796,32.4316309884,106.3072830397,7.1303709685
3366000,65,16549091,688,7,579,0.012,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,3.4036577532,57.8235083101,6.6635582229
3366000,65,16549091,689,19,579,0.033,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,7.9418680329,33.0370322793,1.5762944889
3366000,65,16549091,692,307,579,0.53,10,N,201812,3.5,1.299,309,379,1214,0.3121911038,180.7586491002,267.8868036187,0.900618007
3366000,65,16549091,693,20,579,0.035,10,N,201812,3.5,1.299,165,682,1531,0.4454604833,257.9216198307,304.4463625348,12.0941276227
3366000,65,16549091,695,0,579,0.116,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,3.7818419094,14.7785992758,
3366000,65,16549091,696,0,579,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.7563683703,1.6022727831,
3366000,65,16549091,697,100,579,0.173,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,1754.0182887081,1754.8641931209,13.9087778751
3366000,65,16549091,703,0,579,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.3781842141,3.7618018653,
3366000,65,16549091,704,1,579,0.002,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.3781842141,0.9421204893,0.9548510536
3366000,65,16549091,707,1,579,0.002,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.7563683703,1.6022727831,1.4698032388
3366000,65,16549091,708,0,579,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.3781842141,2820.0595602186,
3366000,65,16549091,709,70,579,0.121,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,27.6074461239,30.4271274999,0.559016536
3366000,65,16549091,710,0,579,0,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,4.5382103376,4.8201784752,
3366000,65,16549091,711,50,579,0.086,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,373.6459830342,382.3869952998,6.185573425
3366000,65,16549091,712,0,579,0,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,240.1469627523,243.5305804035,
3366000,65,16572941,688,0,317,0,10,N,201809,2.667,1.479,193,9,1531,0.0058785108,1.8634879236,67.4095768428,
3366000,65,16572941,689,0,317,0.028,10,N,201809,2.667,1.479,89,21,1531,0.0137165251,4.3481384567,34.5740551086,
3366000,65,16572941,693,651,317,2.054,10,N,201809,2.667,1.479,209,682,1531,0.4454604833,141.2109732061,212.1909347818,0.4968309278
3366000,65,16572941,695,8,317,0.025,10,N,201809,2.667,1.479,39,10,1531,0.0065316786,2.0705421162,15.3156067165,1.6826210861
3366000,65,16572941,696,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.4141084169,1.43295954,
3366000,65,16572941,697,4533,317,14.3,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539,960.3174395863,961.3362907094,0.4118282269
3366000,65,16572941,703,0,317,0,10,N,201809,2.667,1.479,12,1,1531,0.0006531679,0.2070542243,4.2824587167,
3366000,65,16572941,704,0,317,0,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.4141084169,1.093342499,
3366000,65,16572941,707,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.4141084169,1.43295954,
3366000,65,16572941,708,0,317,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.2070542243,3396.3774645462,
3366000,65,16572941,709,0,317,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,14.9079033254,18.3040737357,
3366000,65,16572941,710,10,317,0.032,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,2.4846505648,2.8242676058,0.4643444974
3366000,65,16572941,711,935,317,2.95,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,204.5695623866,215.0976906586,0.4252469397
3366000,65,16572941,712,632,317,1.994,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,131.4794252029,135.5548296953,0.4136275623
3366000,65,16572941,688,0,317,0,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,1.8634879236,56.2833384805,
3366000,65,16572941,689,0,317,0.028,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,4.3481384567,29.4433027031,
3366000,65,16572941,693,651,317,2.054,10,N,201812,3.5,1.299,3,682,1531,0.4454604833,141.2109732061,142.0568776189,0.3901668478
3366000,65,16572941,695,8,317,0.025,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,2.0705421162,13.0672994826,1.4940937429
3366000,65,16572941,696,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.4141084169,1.2600128297,
3366000,65,16572941,697,4533,317,14.3,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,960.3174395863,961.1633439991,0.3853489334
3366000,65,16572941,703,0,317,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.2070542243,3.5906718755,
3366000,65,16572941,704,0,317,0,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.2070542243,0.7709904995,
3366000,65,16572941,707,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.4141084169,1.2600128297,
3366000,65,16572941,708,0,317,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.2070542243,2819.8884302288,
3366000,65,16572941,709,1,317,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,15.1149575497,17.9346389257,14.2098750577
3366000,65,16572941,710,10,317,0.032,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,2.4846505648,2.7666187024,0.4357596663
3366000,65,16572941,711,935,317,2.95,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,204.5695623866,213.3105746522,0.3979098814
3366000,65,16572941,712,632,317,1.994,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,131.4794252029,134.8630428541,0.3864051014
37026000,695,5302969643,681,10,396,0.025,0,N,201809,2.184,3.741,262,10,396,0.0252525253,10.0000000188,46.5393905976,4.2067193271
37026000,695,5302969643,688,5,396,0.013,0,N,201809,2.184,3.741,193,5,396,0.0126262626,4.9999999896,31.9164212938,5.7244032791
37026000,695,5302969643,689,6,396,0.015,0,N,201809,2.184,3.741,89,6,396,0.0151515152,6.0000000192,18.4122357501,2.8155090356
37026000,695,5302969643,692,40,396,0.101,0,N,201809,2.184,3.741,99,40,396,0.101010101,39.999999996,53.8068689551,1.3029248217
37026000,695,5302969643,693,21,396,0.053,0,N,201809,2.184,3.741,77,21,396,0.053030303,20.999999988,31.7386758451,1.4487775132
37026000,695,5302969643,695,7,396,0.018,0,N,201809,2.184,3.741,39,7,396,0.0176767677,7.0000000092,12.4390695992,1.6819086909
37026000,695,5302969643,696,0,396,0.01,0,N,201809,2.184,3.741,3,0,396,0,0,0.4183899685,
37026000,695,5302969643,703,4,396,0.01,0,N,201809,2.184,3.741,12,4,396,0.0101010101,3.9999999996,5.6735598734,1.367181602
37026000,695,5302969643,704,2,396,0.005,0,N,201809,2.184,3.741,2,2,396,0.0050505051,2.0000000196,2.2789266652,1.122393876
37026000,695,5302969643,707,5,396,0.013,0,N,201809,2.184,3.741,3,5,396,0.0126262626,4.9999999896,5.4183899581,1.0734363186
37026000,695,5302969643,708,5,396,0.013,0,N,201809,2.184,3.741,10000,5,396,0.0126262626,4.9999999896,1399.6332281862,245.7877347619
37026000,695,5302969643,709,8,396,0.02,0,N,201809,2.184,3.741,10,8,396,0.0202020202,7.9999999992,9.3946332274,1.1529923341
37026000,695,5302969643,710,1,396,0.003,0,N,201809,2.184,3.741,1,1,396,0.0025252525,0.99999999,1.1394633128,1.1223938586
37026000,695,5302969643,711,1,396,0.003,0,N,201809,2.184,3.741,31,1,396,0.0025252525,0.99999999,5.3233629974,4.7942098801
37026000,695,5302969643,712,3,396,0.008,0,N,201809,2.184,3.741,12,3,396,0.0075757576,3.0000000096,4.6735598834,1.4895754723
37026000,695,5302969643,681,10,396,0.025,0,N,201812,5.431,2.312,262,10,396,0.0252525253,10.0000000188,32.6712789351,3.0865733641
37026000,695,5302969643,688,5,396,0.013,0,N,201812,5.431,2.312,193,5,396,0.0126262626,4.9999999896,21.7005985806,4.0741118983
37026000,695,5302969643,689,0,396,0.015,0,N,201812,5.431,2.312,89,0,396,0,0,7.7013123036,
37026000,695,5302969643,692,40,396,0.101,0,N,201812,5.431,2.312,707,40,396,0.101010101,39.999999996,101.1778404303,2.4076406174
37026000,695,5302969643,693,21,396,0.053,0,N,201812,5.431,2.312,86,21,396,0.053030303,20.999999988,28.4417174949,1.3261455995
37026000,695,5302969643,695,7,396,0.018,0,N,201812,5.431,2.312,39,7,396,0.0176767677,7.0000000092,10.374732367,1.4437097129
37026000,695,5302969643,696,4,396,0.01,0,N,201812,5.431,2.312,3,4,396,0.0101010101,3.9999999996,4.2595947964,1.0597301534
37026000,695,5302969643,703,4,396,0.01,0,N,201812,5.431,2.312,12,4,396,0.0101010101,3.9999999996,5.0383791866,1.2389206139
37026000,695,5302969643,704,2,396,0.005,0,N,201812,5.431,2.312,2,2,396,0.0050505051,2.0000000196,2.1730632174,1.0796402137
37026000,695,5302969643,707,5,396,0.013,0,N,201812,5.431,2.312,3,5,396,0.0126262626,4.9999999896,5.2595947864,1.0477841209
37026000,695,5302969643,708,5,396,0.013,0,N,201812,5.431,2.312,10000,5,396,0.0126262626,4.9999999896,870.31598916,160.280409336
37026000,695,5302969643,709,8,396,0.02,0,N,201812,5.431,2.312,10,8,396,0.0202020202,7.9999999992,8.8653159884,1.0995502557
37026000,695,5302969643,710,1,396,0.003,0,N,201812,5.431,2.312,1,1,396,0.0025252525,0.99999999,1.0865315889,1.0796401954
37026000,695,5302969643,711,1,396,0.003,0,N,201812,5.431,2.312,31,1,396,0.0025252525,0.99999999,3.6824795564,3.4688463355
37026000,695,5302969643,712,3,396,0.008,0,N,201812,5.431,2.312,12,3,396,0.0075757576,3.0000000096,4.0383791966,1.3185608216
